lat,lng,depth
-26.277793,153.068359,3.93
-26.275761,153.068608,3.72
-26.274180,153.068857,3.69
-26.273052,153.069107,3.35
-26.270117,153.069606,3.91
-26.269440,153.069606,3.09
-26.268085,153.069605,1.81
-26.266054,153.069604,1.17
-26.264022,153.069602,0.81
-26.262442,153.069601,0.59
-26.261313,153.069601,-1.12
-26.417973,153.071199,-1.08
-26.417747,153.071449,-1.14
-26.411652,153.070944,-1.09
-26.410072,153.070943,-1.14
-26.403300,153.071691,-1.12
-26.402849,153.071189,-1.11
-26.398786,153.070936,-1.08
-26.396754,153.071186,-0.96
-26.395174,153.069931,0.95
-26.394496,153.071435,2.37
-26.393368,153.070181,0.73
-26.390659,153.070681,1.59
-26.389530,153.071181,1.33
-26.388402,153.071181,0.93
-26.386370,153.071179,1.11
-26.384564,153.071679,0.35
-26.382533,153.071177,-1.07
-26.380727,153.071677,0.35
-26.370343,153.071420,1.80
-26.368763,153.070417,2.00
-26.365829,153.070164,1.94
-26.364474,153.071667,2.73
-26.362894,153.071666,4.81
-26.361088,153.071665,6.25
-26.359508,153.071664,7.06
-26.358153,153.071663,7.96
-26.356347,153.071662,8.59
-26.354767,153.071661,9.27
-26.353187,153.071660,9.63
-26.351381,153.071659,10.05
-26.349801,153.071658,10.33
-26.348221,153.071657,10.68
-26.346866,153.071656,11.04
-26.345060,153.071655,11.39
-26.343255,153.071654,11.77
-26.341674,153.071653,12.06
-26.340094,153.071652,12.49
-26.338514,153.071651,12.88
-26.336934,153.071650,13.22
-26.335128,153.071649,13.57
-26.333548,153.071648,13.81
-26.331968,153.071647,14.06
-26.330388,153.071646,14.31
-26.329033,153.071645,14.54
-26.327453,153.071644,14.75
-26.325421,153.071643,14.79
-26.324293,153.071642,14.82
-26.322261,153.071641,14.94
-26.320681,153.071640,15.03
-26.318875,153.071639,15.04
-26.317746,153.071638,15.06
-26.316392,153.071637,14.95
-26.314360,153.071636,14.93
-26.313006,153.071635,14.93
-26.311426,153.071634,14.86
-26.309846,153.071633,14.71
-26.308040,153.071632,14.58
-26.306460,153.071631,14.39
-26.304879,153.071630,14.17
-26.303299,153.071629,13.94
-26.301719,153.071628,13.79
-26.299913,153.071627,13.48
-26.298107,153.071626,13.29
-26.296527,153.071625,13.27
-26.294947,153.071624,13.07
-26.293367,153.071623,12.71
-26.291787,153.071622,12.78
-26.289755,153.071621,12.26
-26.288175,153.071620,12.34
-26.286820,153.071619,11.66
-26.285466,153.071618,10.95
-26.284337,153.071367,10.83
-26.282757,153.071366,10.51
-26.279823,153.071615,9.64
-26.279371,153.071364,9.55
-26.277114,153.071613,9.14
-26.275759,153.071362,8.54
-26.273502,153.071611,7.84
-26.272148,153.071610,6.68
-26.270793,153.071609,6.97
-26.268987,153.071608,4.71
-26.267182,153.070355,3.78
-26.265602,153.070605,3.51
-26.264021,153.070854,3.85
-26.262215,153.071354,3.56
-26.260861,153.071353,3.28
-26.259280,153.071602,2.92
-26.257249,153.071601,1.82
-26.255443,153.071600,0.85
-26.255217,153.071350,0.99
-26.252734,153.071598,0.47
-26.251831,153.071348,-1.05
-26.421358,153.073206,-1.02
-26.420229,153.073456,-0.94
-26.418875,153.072202,-1.09
-26.415714,153.073454,-1.12
-26.413909,153.073452,-1.00
-26.412554,153.073201,-0.94
-26.410749,153.072698,-0.68
-26.408265,153.073198,-1.09
-26.406459,153.073197,1.78
-26.403300,153.071942,-1.05
-26.398785,153.073192,-1.10
-26.397881,153.073442,-1.14
-26.396527,153.073441,-0.97
-26.393819,153.072437,2.77
-26.393141,153.073439,2.18
-26.391110,153.072686,-1.12
-26.389304,153.072184,-1.15
-26.388401,153.072434,-1.10
-26.385467,153.071931,0.45
-26.383886,153.072682,0.69
-26.382081,153.072430,0.68
-26.381855,153.072430,0.63
-26.380275,153.071927,0.33
-26.377792,153.071926,-1.12
-26.377114,153.073179,-1.04
-26.371020,153.071922,1.93
-26.369213,153.073424,1.76
-26.367407,153.073423,4.24
-26.365827,153.073422,6.01
-26.364247,153.073421,7.18
-26.362667,153.073420,8.09
-26.361087,153.073419,8.76
-26.359281,153.073418,9.44
-26.357701,153.073417,9.82
-26.356121,153.073416,10.28
-26.354540,153.073415,10.66
-26.352735,153.073414,11.06
