lat,lng,depth
-26.986243,153.050518,-1.89
-26.986243,153.050389,-1.80
-26.986022,153.051273,-1.98
-26.986022,153.051021,-1.98
-26.986018,153.050769,-1.97
-26.986019,153.050517,-1.96
-26.986019,153.050392,-1.82
-26.985791,153.051273,-1.98
-26.985793,153.051022,-1.99
-26.985795,153.050424,-1.93
-26.985569,153.050408,-1.79
-26.985344,153.051314,-1.88
-26.985343,153.050526,-1.88
-26.985344,153.050398,-1.80
-26.985261,153.050518,-1.81
-26.985245,153.050405,-1.78
-26.985090,153.051419,-1.01
-26.985074,153.051255,-0.98
-26.985028,153.051015,-0.96
-26.984982,153.050762,-0.89
-26.984981,153.050422,-0.75
-26.984888,153.051238,-1.00
-26.984888,153.050950,-0.96
-26.984887,153.050766,-0.94
-26.984888,153.050511,-0.92
-26.984662,153.051256,-1.00
-26.984662,153.050979,-0.95
-26.984663,153.050683,-0.93
-26.984661,153.050515,-0.91
-26.984436,153.051186,-1.07
-26.984437,153.051000,-1.03
-26.984437,153.050757,-0.99
-26.984437,153.050473,-0.96
-26.984211,153.051251,-1.14
-26.984211,153.050979,-1.12
-26.984211,153.050712,-1.12
-26.984211,153.050434,-1.13
-26.983985,153.051196,-1.20
-26.983985,153.050924,-1.28
-26.983761,153.050528,-1.44
-26.983766,153.050395,-1.52
-26.983538,153.050781,-1.44
-26.983538,153.050531,-1.52
-26.983539,153.050438,-1.83
-26.983313,153.050773,-1.87
-26.983499,153.050395,-1.89
-26.983085,153.050767,-1.90
-26.983097,153.050732,-1.93
-26.982866,153.050782,-1.86
-26.982940,153.050698,-2.00
-26.983083,153.050447,-0.96
-26.982633,153.050881,-1.79
-26.982841,153.050735,-1.88
-26.982855,153.050512,-0.98
-26.982408,153.050928,-1.84
-26.982630,153.050762,-0.97
-26.982631,153.050511,-0.96
-26.982319,153.055302,-1.51
-26.982179,153.055064,-1.59
-26.982179,153.054869,-1.83
-26.982182,153.054546,-1.94
-26.982176,153.055407,-1.02
-26.981955,153.055052,-1.48
-26.981955,153.054814,-1.72
-26.981956,153.054557,-1.86
-26.981953,153.054302,-1.99
-26.981951,153.055423,-0.92
-26.981835,153.055059,-1.48
-26.981752,153.054798,-1.69
-26.981730,153.054550,-1.86
-26.981729,153.054306,-1.98
-26.981727,153.054921,-0.83
-26.981503,153.054311,-1.82
-26.981448,153.054296,-1.51
-26.981274,153.054338,-0.65
-26.981046,153.055424,-0.96
-26.981049,153.055265,-0.79
-26.981049,153.054208,-0.88
-26.980980,153.055041,-0.67
-26.980822,153.055418,-1.04
-26.980821,153.055293,-0.99
-26.980820,153.055047,-0.78
-26.980821,153.054058,-0.53
-26.980795,153.054037,-0.84
-26.980596,153.055424,-1.07
-26.980597,153.055295,-1.04
-26.980598,153.055018,-0.95
-26.980369,153.055424,-1.07
-26.980370,153.055295,-1.06
-26.980371,153.055045,-1.03
-26.980372,153.054753,-0.83
-26.980369,153.053726,-0.78
-26.980146,153.055397,-1.08
-26.980147,153.055292,-1.09
-26.980146,153.055039,-1.06
-26.980146,153.054790,-0.96
-26.979917,153.055424,-1.06
-26.979919,153.055296,-1.10
-26.979921,153.054998,-1.09
-26.979921,153.054771,-1.01
-26.979914,153.054541,-0.78
-26.979692,153.055423,-1.04
-26.979693,153.055297,-1.08
-26.979693,153.055046,-1.08
-26.979693,153.054794,-1.02
-26.979693,153.054541,-0.83
-26.979468,153.055421,-1.00
-26.979468,153.055296,-1.03
-26.979468,153.055044,-1.04
-26.979468,153.054794,-1.02
-26.979468,153.054542,-0.83
-26.979244,153.055393,-0.98
-26.979243,153.055276,-1.02
-26.979244,153.055036,-1.04
-26.979239,153.054789,-1.04
-26.979240,153.054540,-0.86
-26.979169,153.054290,-0.62
-26.979017,153.055413,-0.95
-26.979018,153.055280,-1.00
-26.979017,153.055024,-1.05
-26.979017,153.054786,-1.07
-26.979015,153.054542,-0.91
-26.979017,153.054267,-0.71
-26.978792,153.055359,-0.96
