lat,lng,depth
-27.316368,153.073663,-1.32
-27.316368,153.073913,-1.06
-27.316368,153.074173,-1.20
-27.316218,153.071537,-1.59
-27.315993,153.071511,-1.64
-27.315766,153.071497,-1.65
-27.315542,153.071538,-1.61
-27.315186,153.071390,-1.61
-27.315088,153.071539,-1.64
-27.315093,153.071382,-1.64
-27.314863,153.071539,-1.59
-27.314864,153.071381,-1.60
-27.314638,153.071539,-1.54
-27.314639,153.071382,-1.61
-27.314641,153.071127,-1.61
-27.314034,153.070878,-1.58
-27.314214,153.070878,-1.62
-27.314415,153.071537,-1.55
-27.314414,153.071383,-1.58
-27.314003,153.071134,-1.55
-27.314003,153.071386,-1.49
-27.316220,153.072201,-1.53
-27.316219,153.072142,-1.57
-27.316220,153.071887,-1.62
-27.315993,153.072201,-1.49
-27.315995,153.072141,-1.56
-27.315990,153.071889,-1.63
-27.316219,153.072864,-1.39
-27.316220,153.072647,-1.44
-27.315995,153.072863,-1.33
-27.315992,153.072646,-1.43
-27.315762,153.072162,-1.47
-27.315763,153.072140,-1.60
-27.315185,153.071647,-1.55
-27.315186,153.071899,-1.52
-27.315319,153.071646,-1.58
-27.315198,153.072145,-1.45
-27.315320,153.071890,-1.56
-27.315319,153.072151,-1.45
-27.315545,153.071644,-1.54
-27.315749,153.072860,-1.36
-27.315766,153.072645,-1.44
-27.315541,153.072863,-1.33
-27.315543,153.072646,-1.33
-27.315185,153.072396,-1.32
-27.315185,153.072653,-1.22
-27.316220,153.073493,-1.31
-27.316219,153.073405,-1.45
-27.316220,153.073151,-1.41
-27.315993,153.073526,-1.27
-27.315994,153.073405,-1.34
-27.315992,153.073151,-1.45
-27.316219,153.074189,-1.03
-27.316218,153.074154,-1.13
-27.316220,153.073909,-1.26
-27.315994,153.073911,-1.21
-27.315185,153.072902,-1.35
-27.315185,153.073159,-1.14
-27.315318,153.072905,-1.29
-27.315185,153.073406,-1.02
-27.315318,153.073154,-1.30
-27.315318,153.073455,-1.05
-27.315544,153.072910,-1.33
-27.315546,153.073154,-1.35
-27.315544,153.073411,-1.21
-27.315763,153.073903,-1.06
-27.315186,153.073659,-1.03
-27.315318,153.073659,-1.11
-27.315092,153.072201,-1.41
-27.315092,153.072140,-1.49
-27.315092,153.071889,-1.55
-27.314863,153.072200,-1.35
-27.314866,153.072140,-1.39
-27.314865,153.071886,-1.53
-27.314640,153.072199,-1.37
-27.314637,153.072140,-1.42
-27.314635,153.071886,-1.39
-27.315092,153.072863,-1.40
-27.315091,153.072646,-1.33
-27.314866,153.072863,-1.22
-27.314867,153.072644,-1.26
-27.314640,153.072864,-1.19
-27.314639,153.072646,-1.23
-27.314411,153.072200,-1.33
-27.314414,153.072141,-1.37
-27.314414,153.071888,-1.42
-27.314188,153.072202,-1.30
-27.314184,153.072140,-1.22
-27.314186,153.071887,-1.29
-27.314412,153.072863,-1.26
-27.314405,153.072556,-1.31
-27.314184,153.072863,-1.18
-27.314185,153.072645,-1.19
-27.315030,153.073657,-0.93
-27.315090,153.073405,-1.13
-27.315090,153.073152,-1.26
-27.314859,153.073733,-0.92
-27.314863,153.073657,-1.02
-27.314856,153.073391,-1.13
-27.314863,153.073152,-1.10
-27.314640,153.073590,-0.98
-27.314640,153.073246,-1.04
-27.314638,153.073152,-1.13
-27.314414,153.073150,-1.09
-27.314185,153.073232,-1.02
-27.314003,153.073014,-1.06
-27.313492,153.070878,-1.38
-27.313963,153.071516,-1.46
-27.313963,153.071382,-1.53
-27.313735,153.071536,-1.34
-27.313736,153.071381,-1.52
-27.313510,153.071537,-1.24
-27.313512,153.071380,-1.42
-27.312819,153.070769,-1.48
-27.312837,153.070764,-1.50
-27.312835,153.070877,-1.24
-27.312851,153.070878,-1.44
-27.313063,153.070763,-1.54
-27.313115,153.070878,-1.37
-27.313286,153.071539,-1.31
-27.313287,153.071382,-1.36
-27.312819,153.071137,-1.42
-27.312841,153.071146,-1.25
-27.312819,153.071394,-1.26
-27.312837,153.071393,-1.29
-27.312608,153.070877,-1.25
-27.312609,153.070874,-1.36
-27.312383,153.070876,-1.32
-27.312367,153.070877,-1.28
-27.312609,153.071539,-1.24
-27.312607,153.071381,-1.35
-27.312381,153.071537,-1.24
-27.312380,153.071369,-1.25
-27.312047,153.070758,-1.24
-27.312047,153.070877,-1.36
-27.312157,153.071539,-1.26
-27.312157,153.071381,-1.24
-27.313962,153.072199,-1.11
-27.313960,153.072139,-1.26
-27.313960,153.071888,-1.28
-27.313737,153.072200,-1.07
-27.313737,153.072140,-1.09
-27.313735,153.071886,-1.38
-27.313412,153.071640,-1.30
-27.313411,153.071890,-1.16
-27.313411,153.072145,-1.21
-27.313959,153.072802,-1.03
-27.313962,153.072646,-1.29
-27.313738,153.072861,-1.03
-27.313737,153.072644,-1.24
